,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
13686,1.43399E+18,170,975,9550,FALSE,1,TRUE,2,3,2,1,0.2763787,0,0,0,0,0
13687,1.43796E+18,1257,2260,23605,FALSE,20,TRUE,1,4,2,2,0.020960633,0,0,0,0,0
13688,1.42666E+18,4341,2242,157494,FALSE,52,TRUE,9,3,3,0,0.15987846,0,0,0,0,0
13689,1.43654E+18,51,104,637,FALSE,3,TRUE,7,3,2,1,0.013634177,0,0,0,0,0
13690,1.44114E+18,11,27,13,FALSE,0,TRUE,1,2,2,0,0.028974265,0,0,0,0,0
13691,1.42809E+18,13579,2348,18818,FALSE,67,TRUE,7,2,2,0,0.043399423,0,0,0,0,0
13692,1.42923E+18,1523,197,22322,FALSE,72,TRUE,1,5,2,2,0.7308154,0,1,1,1,1
13693,1.43724E+18,55929,535,21554,FALSE,40,TRUE,5,6,2,1,0.47886392,0,2,0,2,1
13694,1.44186E+18,268,586,5264,FALSE,12,TRUE,0,4,4,0,0.02638162,0,0,0,0,0
13695,1.4284E+18,223,317,4051,FALSE,6,TRUE,0,3,2,1,0.06263174,0,0,0,0,0
13696,1.43325E+18,2268,803,41755,FALSE,32,TRUE,10,3,3,0,0.18459146,1,0,0,1,1
13697,1.4409E+18,619,826,20967,FALSE,2,TRUE,0,3,2,1,0.3234372,1,0,0,1,1
13698,1.42774E+18,4883,5354,12136,FALSE,11,TRUE,11,2,2,0,0.8629672,0,0,0,0,0
13699,1.43324E+18,96,202,124,FALSE,0,TRUE,2,2,2,0,0.042657252,0,0,0,0,0
13700,1.43431E+18,659,555,35518,FALSE,2,FALSE,10,6,3,2,0.1269396,0,0,0,0,0
13701,1.4284E+18,81,73,1776,FALSE,2,FALSE,5,4,2,2,0.025203144,0,0,0,0,0
13702,1.44269E+18,607,645,495,FALSE,3,TRUE,0,2,2,0,0.0926474,0,0,0,0,0
13703,1.42968E+18,4830,961,34556,FALSE,45,TRUE,5,12,8,2,0.025556687,0,0,0,0,0
13704,1.42666E+18,549,444,3896,FALSE,0,TRUE,2,2,2,0,0.37694603,0,0,0,0,0
13705,1.42811E+18,174,266,9125,FALSE,0,TRUE,5,6,2,2,0.050326355,1,0,0,1,1
13706,1.43142E+18,85351,446,1407,FALSE,145,TRUE,2,13,13,0,0.27236435,3,0,0,3,1
13707,1.43434E+18,720,878,7081,FALSE,1,TRUE,0,2,2,0,0.010492661,0,0,0,0,0
13708,1.43433E+18,236,167,19348,FALSE,3,TRUE,8,3,2,1,0.19029272,1,0,1,1,1
13709,1.44267E+18,118,175,2603,FALSE,1,TRUE,4,2,2,0,0.03875561,0,0,0,0,0
13710,1.42776E+18,9145,1912,30432,FALSE,4,TRUE,5,2,2,0,0.103928015,0,0,0,0,0
13711,1.43256E+18,61,286,44880,FALSE,1,FALSE,4,4,2,2,0.05824285,0,0,0,0,0
13712,1.44151E+18,915,1891,14296,FALSE,14,FALSE,10,4,3,0,0.023906821,0,0,0,0,0
13713,1.43217E+18,4582,3766,92865,FALSE,38,TRUE,11,2,2,0,0.049831573,0,0,0,0,0
